__key__,Label1,Label2
coda_dataset/4910-Hacking-de-29034e38f10b5d732d36615d9be95a1f45ffff7880f58c6e48980f14b97bf555,Not Relevant,N/A
coda_dataset/5125-Hacking-en-b113c014b1df68b130ed368ff00a534f0153bb8533dd3e9ca97df6a42ddd792a,Not Relevant,N/A
coda_dataset/8417-Hacking-en-4cf67153ac83aec74c43b84554b50dfa244ee7f846b7db6f58b56cd2fd08bc13,Not Relevant,N/A
coda_dataset/8524-Hacking-en-33ed27bbc9ec15532e30b298b67f455b135c09edfb82dc01477c0b4c732360e3,Not Relevant,N/A
coda_dataset/8234-Hacking-en-8a849991548c6d731fce9fccd362493c84b345614e0f5e58d3c56e91e36837b0,Relevant,Hack
coda_dataset/416-Hacking-en-e52d6af5d6a95d91c848740568d388133368beb36d138a99218ad87fade9f948,Not Relevant,N/A
coda_dataset/8358-Hacking-en-ee5f53a830c7bd873868c5dbc0f78370d002340373da0680f5f28112311c0a51,Not Relevant,N/A
coda_dataset/4593-Hacking-en-2568e9c8040dadb10e48d547a711b9dc69a9bf2dd2350eae1bef371f49283592,Relevant,Malware
coda_dataset/8503-Hacking-en-30a2c247257982f5548e01feaaab15f8a44bca85f02c8f7bb901aa86def303ac,Relevant,Malware
coda_dataset/8310-Hacking-en-a075b101753a2a026dc800c02dbd095d9b7e6311c8524513cc471098a37bb6a9,Relevant,Hack
coda_dataset/4658-Hacking-en-9cd0b596c575d11bd492c1d03d030b0b9c9ad26ab434e153867f3d831f97c78a,Relevant,Hack
coda_dataset/8471-Hacking-en-23cb15cf0cc132db7cff999843b9ee3eb46410b9303434f1d284b7b0e8de5743,Not Relevant,N/A
coda_dataset/4718-Hacking-ru-a3e4f88005f4c257e507f366070e66297d97e95682e0c208ac03ed4284d5e1f2,Not Relevant,N/A
coda_dataset/866-Hacking-en-69f705f2c17be7a21246e08e5599efe779960ce25f725d19b271c5a6ca7f125a,Not Relevant,N/A
coda_dataset/4577-Hacking-en-d728dcdbe07ffc401065b8f4bbe8158223b813618218b05ef730305a89e6c097,Not Relevant,N/A
coda_dataset/8408-Hacking-en-9a25d3793ee823257025b53173ff51f0213156d567e9f260ad3587c81b0587d6,Relevant,Hack
coda_dataset/4642-Hacking-en-7c9fedaa53676fd635656b3db1cacff329f6b752df3b442d90abd4c6f0b68d0c,Not Relevant,N/A
coda_dataset/1596-Hacking-en-76a85b35b5a583b3284914d96712ec0f9b2d9eb84261bf71c245acf745fc12fe,Relevant,Malware
coda_dataset/1999-Hacking-en-4d7aac50263bc1b753398918e52c54004ff9bd8d0555677b130fae2c6f136cb3,Not Relevant,N/A
coda_dataset/8499-Hacking-en-61057f7bbcd3189b5981a94f628fef42739effd678861a1c358bee127376a23d,Relevant,Hack
coda_dataset/8268-Hacking-en-52db1a1a01287d12b59133aff7d809befb2e57ea3cab216c4a4c77e9fba73664,Relevant,Hack
coda_dataset/8242-Hacking-en-3a20bdeb5500a2868eb0ddaf7f736739ace60e2a575d8ae50dc94bb07c1669c5,Not Relevant,N/A
coda_dataset/8497-Hacking-en-7d65bf9d7b1c7f2496c0ef25c02421a9af8f2ce5b8cb8140f62042e1bd4c3919,Relevant,Hack
coda_dataset/9975-Hacking-en-23f7a132efe775466dc5cfe1a25019eb4696bb3e53bbee448ae3159d10588d6a,Relevant,Malware
coda_dataset/8363-Hacking-en-3f68e4e1344caf5b8ac3019f2d83fe0106a69284f9e6a5789cebfcb6d871854a,Relevant,Hack
coda_dataset/9983-Hacking-en-edb2d127abc127010b7409102749f36446c2feb0a348b37611bfbb3dd12d26e8,Not Relevant,N/A
coda_dataset/4625-Hacking-en-dc3823897f41abf9db538b7589db872fd9cb3fac0e2809baf68f1e79e51297e2,Relevant,Malware
coda_dataset/1868-Hacking-en-f37c6c937a298c69e2b4ce89cdf4593bcb1109fd9f8ded6a3de4696b3ec66875,Not Relevant,N/A
coda_dataset/8316-Hacking-en-9988f284725bfce1fbb8d64e602d373ce3498161c7b4de43e9f02d5c2946301f,Not Relevant,N/A
coda_dataset/8213-Hacking-en-5548021a8ece9b9ef967809882a7c9af8b73dcf8fc0100485a67811e376718ee,Not Relevant,N/A
coda_dataset/8333-Hacking-en-cb6a00acd69d52a7a8ed55cf95b8c56b5292935eec8c16b2bf58631fab108f26,Relevant,Hack
coda_dataset/8500-Hacking-en-bd92e4b1fedb2d34503e7d44161a65d74e744ec235b8cceef3cad28c97a7775e,Relevant,Hack
coda_dataset/8384-Hacking-en-20a132a570c4a55fa75e5cc0cf0cf7b8bb45af71ef2f80b632e5e624d3c2c3ba,Not Relevant,N/A
coda_dataset/8225-Hacking-en-b184f9a17b22814d0df13f27c10f2946d6a7aeabf40eb1e9955964be33fa5a8c,Relevant,Hack
coda_dataset/8205-Hacking-en-bf0e7831148b4f58bc0cc53a3fcf7919f3f36ba39daf948177b9d303d81b8951,Relevant,Hack
coda_dataset/4669-Hacking-en-4b8ff92288861c878596fc4316bf266bddd939216fa9010ae658691c23518fa8,Not Relevant,N/A
coda_dataset/4714-Hacking-en-e1ef6c77686dc4279a75058252149b8002292d795c76822a86e43f0fec4d82cc,Not Relevant,N/A
coda_dataset/4681-Hacking-en-d83dd04dfb0a4888a1d28a7d88358426803932d934af6188a604bc67bf23473c,Relevant,Hack
coda_dataset/8385-Hacking-en-8b7d372096bc2b2556620b980741df36f630c92c02c4785316a93ffe2b6e363e,Relevant,Hack
coda_dataset/8226-Hacking-en-25e06ea1e88336bb239adc9f07be6160501635f4bdac3c8b999b840388bb4ab1,Not Relevant,N/A
coda_dataset/8252-Hacking-en-40f92626b4719d5f90b0bd966f8f6b08a8cefb2df835203b6e9adbd14be20478,Relevant,Hack
